Class Name,Department,Catalog Number,Section Type,Section Number,Class Number,Open Seats,Total Seats,Percent,Timestamp
Boccaccio's Decameron,ITALIAN,338S,SEM,01,9452,4,14,71.42857142857143,6/27/2021 5:31:10 PM
Boccaccio's Decameron - Preceptorial,ITALIAN,338SP,PRC,01P,9454,12,14,14.285714285714285,6/27/2021 5:31:13 PM
Art in Renaissance Italy,ITALIAN,386,Lecture,01,3500,2,18,88.88888888888889,6/27/2021 5:31:15 PM
Research Independent Study,ITALIAN,394,IND,01,2891,1,1,0.0,6/27/2021 5:31:17 PM
Research Independent Study,ITALIAN,394,IND,02,2892,1,1,0.0,6/27/2021 5:31:20 PM
Research Independent Study,ITALIAN,494,IND,01,2893,1,1,0.0,6/27/2021 5:31:22 PM
Research Independent Study,ITALIAN,494,IND,02,2894,1,1,0.0,6/27/2021 5:31:24 PM
Honors Thesis,ITALIAN,495,IND,01,2895,1,1,0.0,6/27/2021 5:31:27 PM
Honors Thesis,ITALIAN,495,IND,02,2896,1,1,0.0,6/27/2021 5:31:29 PM
First Year Seminar in Italian,ITALIAN,89S,SEM,01,9482,0,18,100.0,6/27/2021 6:27:17 PM
Elementary Italian 1,ITALIAN,101,Lecture,01,9368,4,15,73.33333333333333,6/27/2021 6:27:19 PM
Elementary Italian 1,ITALIAN,101,Lecture,02,9369,0,15,100.0,6/27/2021 6:27:22 PM
Elementary Italian 1,ITALIAN,101,Lecture,03,9370,8,15,46.666666666666664,6/27/2021 6:27:24 PM
Elementary Italian 1,ITALIAN,101,Lecture,04,9371,0,15,100.0,6/27/2021 6:27:27 PM
Elementary Italian 1,ITALIAN,101,Lecture,05,11487,0,15,100.0,6/27/2021 6:27:29 PM
Elementary Italian 2,ITALIAN,102,Lecture,02,9373,3,15,80.0,6/27/2021 6:27:32 PM
Elementary Italian 2,ITALIAN,102,Lecture,03,9374,0,15,100.0,6/27/2021 6:27:34 PM
Elementary Italian 2,ITALIAN,102,Lecture,04,9375,0,15,100.0,6/27/2021 6:27:36 PM
Elementary Italian 2,ITALIAN,102,Lecture,05,9376,0,15,100.0,6/27/2021 6:27:39 PM
