Class Name,Department,Catalog Number,Section Type,Section Number,Class Number,Open Seats,Total Seats,Percent,Timestamp
Selected Public Policy Topics,PUBPOL,290S,SEM,30,9832,1,6,83.33333333333334,6/27/2021 5:35:25 PM
Selected Public Policy Topics,PUBPOL,290S,SEM,31,9833,1,6,83.33333333333334,6/27/2021 5:35:27 PM
Selected Public Policy Topics,PUBPOL,290S,SEM,40,9834,0,6,100.0,6/27/2021 5:35:30 PM
Selected Public Policy Topics,PUBPOL,290S,SEM,41,9835,2,6,66.66666666666666,6/27/2021 5:35:32 PM
Selected Public Policy Topics,PUBPOL,290S,SEM,50,9836,0,8,100.0,6/27/2021 5:35:34 PM
Selected Public Policy Topics,PUBPOL,290S,SEM,51,9837,2,7,71.42857142857143,6/27/2021 5:35:37 PM
Political Analysis for Public Policy-Making,PUBPOL,301,Lecture,001,9003,9,90,90.0,6/27/2021 5:35:39 PM
Political Analysis for Public Policy-Making,PUBPOL,301,Lecture,003,9005,8,45,82.22222222222221,6/27/2021 5:35:41 PM
Political Analysis for Public Policy-Making,PUBPOL,301,Discussion,01D,9006,1,15,93.33333333333333,6/27/2021 5:35:44 PM
Political Analysis for Public Policy-Making,PUBPOL,301,Discussion,02D,9007,0,15,100.0,6/27/2021 5:35:46 PM
Political Analysis for Public Policy-Making,PUBPOL,301,Discussion,03D,9008,2,15,86.66666666666667,6/27/2021 5:35:49 PM
Political Analysis for Public Policy-Making,PUBPOL,301,Discussion,04D,9009,0,15,100.0,6/27/2021 5:35:51 PM
Political Analysis for Public Policy-Making,PUBPOL,301,Discussion,05D,9010,5,15,66.66666666666666,6/27/2021 5:35:53 PM
Political Analysis for Public Policy-Making,PUBPOL,301,Discussion,06D,9011,1,15,93.33333333333333,6/27/2021 5:35:56 PM
Political Analysis for Public Policy-Making,PUBPOL,301,Discussion,07D,9012,1,15,93.33333333333333,6/27/2021 5:35:58 PM
Political Analysis for Public Policy-Making,PUBPOL,301,Discussion,08D,9013,7,15,53.333333333333336,6/27/2021 5:36:01 PM
Political Analysis for Public Policy-Making,PUBPOL,301,Discussion,09D,9014,0,15,100.0,6/27/2021 5:36:03 PM
Policy Choice as Value Conflict,PUBPOL,302D,Lecture,002,9016,25,90,72.22222222222221,6/27/2021 5:36:06 PM
Policy Choice as Value Conflict,PUBPOL,302D,Discussion,04D,9020,5,15,66.66666666666666,6/27/2021 5:36:08 PM
Policy Choice as Value Conflict,PUBPOL,302D,Discussion,05D,9021,6,15,60.0,6/27/2021 5:36:11 PM
Policy Choice as Value Conflict,PUBPOL,302D,Discussion,06D,9022,1,15,93.33333333333333,6/27/2021 5:36:13 PM
Policy Choice as Value Conflict,PUBPOL,302D,Discussion,07D,9818,4,15,73.33333333333333,6/27/2021 5:36:15 PM
Policy Choice as Value Conflict,PUBPOL,302D,Discussion,08D,9024,2,15,86.66666666666667,6/27/2021 5:36:18 PM
Policy Choice as Value Conflict,PUBPOL,302D,Discussion,09D,9025,7,15,53.333333333333336,6/27/2021 5:36:20 PM
Microeconomic Policy Tools,PUBPOL,303D,Lecture,002,9063,4,35,88.57142857142857,6/27/2021 5:36:23 PM
Microeconomic Policy Tools,PUBPOL,303D,Lecture,004,9065,0,1,100.0,6/27/2021 5:36:25 PM
Microeconomic Policy Tools,PUBPOL,303D,Lecture,005,11423,28,35,20.0,6/27/2021 5:36:27 PM
Microeconomic Policy Tools,PUBPOL,303D,Lecture,006,11427,1,2,50.0,6/27/2021 5:36:30 PM
Microeconomic Policy Tools,PUBPOL,303D,Discussion,04D,9069,0,12,100.0,6/27/2021 5:36:32 PM
Microeconomic Policy Tools,PUBPOL,303D,Discussion,05D,9070,5,12,58.333333333333336,6/27/2021 5:36:35 PM
Microeconomic Policy Tools,PUBPOL,303D,Discussion,06D,9071,1,11,90.9090909090909,6/27/2021 5:36:37 PM
Microeconomic Policy Tools,PUBPOL,303D,Discussion,07D,11424,11,12,8.333333333333332,6/27/2021 5:36:39 PM
Microeconomic Policy Tools,PUBPOL,303D,Discussion,08D,11425,7,12,41.66666666666667,6/27/2021 5:36:42 PM
Microeconomic Policy Tools,PUBPOL,303D,Discussion,09D,11426,10,11,9.090909090909092,6/27/2021 5:36:44 PM
Microeconomic Policy Tools,PUBPOL,303D,Discussion,10D,12023,9,10,10.0,6/27/2021 5:36:46 PM
Economics of the Public Sector,PUBPOL,304,Lecture,01,9103,10,35,71.42857142857143,6/27/2021 5:36:49 PM
Economics of the Public Sector,PUBPOL,304,Lecture,02,9104,25,35,28.57142857142857,6/27/2021 5:36:51 PM
Economics of the Public Sector,PUBPOL,304,Lecture,03,9105,0,1,100.0,6/27/2021 5:36:54 PM
Economics of the Public Sector,PUBPOL,304,Lecture,04,9106,-1,1,200.0,6/27/2021 5:36:56 PM
Economics of the Public Sector,PUBPOL,304,Lecture,05,9107,-2,35,105.71428571428572,6/27/2021 5:36:58 PM
Economics of the Public Sector,PUBPOL,304,Lecture,06,9108,-3,1,400.0,6/27/2021 5:37:01 PM
"Africa and Arabia: Cultures, Communities, and Connections",PUBPOL,305,Lecture,01,10459,7,12,41.66666666666667,6/27/2021 5:37:03 PM
"Africa and Arabia: Cultures, Communities, and Connections",PUBPOL,305,Lecture,02,10460,1,6,83.33333333333334,6/27/2021 5:37:06 PM
Anthropology of Money,PUBPOL,306,Lecture,01,5883,1,70,98.57142857142858,6/27/2021 5:37:08 PM
Business and Human Rights Advocacy Lab,PUBPOL,311S,SEM,01,8749,0,12,100.0,6/27/2021 5:37:10 PM
Managing the Oceans to Solve Global Problems,PUBPOL,314D,Lecture,001,9701,20,36,44.44444444444444,6/27/2021 5:37:13 PM
Managing the Oceans to Solve Global Problems,PUBPOL,314D,Discussion,01D,9702,20,36,44.44444444444444,6/27/2021 5:37:15 PM
Non-Profit Cultural Institutions,PUBPOL,318S,SEM,01,7867,1,16,93.75,6/27/2021 5:37:18 PM
Statecraft and Strategy,PUBPOL,320,Lecture,01,9759,0,33,100.0,6/27/2021 5:37:20 PM
Contemporary South Africa,PUBPOL,321S,SEM,01,9744,5,18,72.22222222222221,6/27/2021 5:37:23 PM
Global Health Policy: Transforming Evidence into Action,PUBPOL,324,Lecture,01,5984,21,40,47.5,6/27/2021 5:37:25 PM
Global Health Ethics: Policy Choice as Value Conflict,PUBPOL,330,Lecture,01,5981,6,45,86.66666666666667,6/27/2021 5:37:28 PM
War and Public Health in Africa,PUBPOL,333,Lecture,01,10309,3,18,83.33333333333334,6/27/2021 5:37:30 PM
De/Re/Segregation in Education: A Case of Back to the Future?,PUBPOL,340S,SEM,01,5152,0,18,100.0,6/27/2021 5:37:33 PM
Family Rights/Human Rights,PUBPOL,346S,SEM,01,7148,3,18,83.33333333333334,6/27/2021 5:37:35 PM
Global Environmental Politics,PUBPOL,349D,Lecture,001,9671,2,18,88.88888888888889,6/27/2021 5:37:38 PM
Global Environmental Politics,PUBPOL,349D,Discussion,01D,9672,2,18,88.88888888888889,6/27/2021 5:37:40 PM
The University as a Culture: A Survivor's Guide,PUBPOL,350S,SEM,01,5880,4,15,73.33333333333333,6/27/2021 5:37:43 PM
U.S. Policy in the Middle East,PUBPOL,353S,SEM,01,6114,0,18,100.0,6/27/2021 5:37:45 PM
Violent Jihad in the Twentieth Century - A Global History,PUBPOL,359,Lecture,01,7135,23,60,61.66666666666667,6/27/2021 5:37:47 PM
"Race and Society: South Africa and the US, 1890-present",PUBPOL,362S,SEM,01,9749,1,18,94.44444444444444,6/27/2021 5:37:50 PM
Art of the Interview,PUBPOL,364S,SEM,01,3070,4,12,66.66666666666666,6/27/2021 5:37:52 PM
Video Journalism,PUBPOL,365S,SEM,01,3072,0,6,100.0,6/27/2021 5:37:55 PM
Video Journalism,PUBPOL,365S,SEM,02,3075,0,6,100.0,6/27/2021 5:37:57 PM
News Writing and Reporting,PUBPOL,367S,SEM,01,3078,0,8,100.0,6/27/2021 5:38:00 PM
News Writing and Reporting,PUBPOL,367S,SEM,02,3079,3,4,25.0,6/27/2021 5:38:02 PM
News as a Moral Battleground,PUBPOL,371,Lecture,01,3080,0,15,100.0,6/27/2021 5:38:04 PM
News as a Moral Battleground,PUBPOL,371,Lecture,02,3084,1,10,90.0,6/27/2021 5:38:07 PM
Contemporary Documentary Film: Filmmakers and the Full Frame Documentary Film Festival,PUBPOL,374,Lecture,01,3546,6,26,76.92307692307693,6/27/2021 5:38:09 PM
Research Seminar in Sexual and Gender Minority Health,PUBPOL,378S,SEM,01,11210,5,15,66.66666666666666,6/27/2021 5:38:11 PM
Refugee Policy and Practice (DukeImmerse),PUBPOL,382S,SEM,01,8767,18,18,0.0,6/27/2021 5:38:14 PM
Documenting Black Experiences,PUBPOL,387S,SEM,01,3154,1,14,92.85714285714286,6/27/2021 5:38:17 PM
Small Town USA: Local Collaborations,PUBPOL,389S,SEM,01,3134,1,15,93.33333333333333,6/27/2021 5:38:19 PM
Independent Study,PUBPOL,391,IND,01,2834,0,1,100.0,6/27/2021 5:38:22 PM
Independent Study,PUBPOL,391,IND,03,2835,0,1,100.0,6/27/2021 5:38:24 PM
Independent Study,PUBPOL,391,IND,04,2836,1,1,0.0,6/27/2021 5:38:26 PM
Independent Study,PUBPOL,391,IND,06,2837,1,1,0.0,6/27/2021 5:38:29 PM
Independent Study,PUBPOL,391,IND,07,2838,1,1,0.0,6/27/2021 5:38:31 PM
Independent Study,PUBPOL,391,IND,09,2839,1,1,0.0,6/27/2021 5:38:33 PM
Independent Study,PUBPOL,391,IND,11,2840,1,1,0.0,6/27/2021 5:38:35 PM
Independent Study,PUBPOL,391,IND,23,2841,1,1,0.0,6/27/2021 5:38:38 PM
Research Independent Study,PUBPOL,393,IND,01,2842,0,1,100.0,6/27/2021 5:38:40 PM
Research Independent Study,PUBPOL,393,IND,02,2843,0,1,100.0,6/27/2021 5:38:42 PM
Research Independent Study,PUBPOL,393,IND,03,2844,0,1,100.0,6/27/2021 5:38:45 PM
Research Independent Study,PUBPOL,393,IND,04,2845,1,1,0.0,6/27/2021 5:38:47 PM
Research Independent Study,PUBPOL,393,IND,05,2846,0,1,100.0,6/27/2021 5:38:50 PM
Research Independent Study,PUBPOL,393,IND,06,2847,1,1,0.0,6/27/2021 5:38:52 PM
Children and the Experience of Illness,PUBPOL,395S,SEM,01,3129,0,12,100.0,6/27/2021 5:38:54 PM
Capstone Course for Certificate in Civic Engagement and Social Change: Lives of Civic Engagement,PUBPOL,401S,SEM,01,8771,12,18,33.33333333333333,6/27/2021 5:38:57 PM
Multidisciplinary Approaches to Contemporary Children's Issues,PUBPOL,420S,SEM,01,2957,11,15,26.666666666666668,6/27/2021 5:38:59 PM
Global Inequality Research Seminar,PUBPOL,435S,SEM,02,11793,0,15,100.0,6/27/2021 5:39:02 PM
Building a Sustainable Tomorrow,PUBPOL,473SD,SEM,001,10843,6,10,40.0,6/27/2021 5:39:04 PM
Building a Sustainable Tomorrow,PUBPOL,473SD,Discussion,01D,10857,6,10,40.0,6/27/2021 5:39:06 PM
Honors Project: Research Independent Study,PUBPOL,494,IND,01,2848,0,1,100.0,6/27/2021 5:39:09 PM
Honors Project: Research Independent Study,PUBPOL,494,IND,02,2849,0,1,100.0,6/27/2021 5:39:11 PM
Honors Project: Research Independent Study,PUBPOL,494,IND,03,2850,0,1,100.0,6/27/2021 5:39:13 PM
Honors Project: Research Independent Study,PUBPOL,494,IND,04,2851,0,1,100.0,6/27/2021 5:39:16 PM
Honors Project: Research Independent Study,PUBPOL,494,IND,05,2852,1,1,0.0,6/27/2021 5:39:18 PM
Honors Project: Research Independent Study,PUBPOL,494,IND,06,2853,1,1,0.0,6/27/2021 5:39:20 PM
Honors Project: Research Independent Study,PUBPOL,494,IND,07,2854,1,1,0.0,6/27/2021 5:39:23 PM
Honors Project: Research Independent Study,PUBPOL,494,IND,08,2855,1,1,0.0,6/27/2021 5:39:25 PM
Honors Seminar,PUBPOL,495S,SEM,01,9030,1,15,93.33333333333333,6/27/2021 5:39:27 PM
Honors Seminar,PUBPOL,495S,SEM,02,9031,0,15,100.0,6/27/2021 5:39:30 PM
Honors Seminar,PUBPOL,495S,SEM,03,11505,1,15,93.33333333333333,6/27/2021 5:39:32 PM
Honors Seminar,PUBPOL,495S,SEM,04,11506,4,15,73.33333333333333,6/27/2021 5:39:35 PM
Honors Seminar,PUBPOL,495S,SEM,05,11853,14,15,6.666666666666667,6/27/2021 5:39:37 PM
First-Year Seminar,PUBPOL,89S,SEM,01,9825,0,8,100.0,6/27/2021 6:29:39 PM
First-Year Seminar,PUBPOL,89S,SEM,02,9827,0,4,100.0,6/27/2021 6:29:41 PM
First-Year Seminar,PUBPOL,89S,SEM,03,10541,0,18,100.0,6/27/2021 6:29:44 PM
First-Year Seminar,PUBPOL,89S,SEM,04,10833,0,15,100.0,6/27/2021 6:29:46 PM
Undergraduates Internship Requirement,PUBPOL,120,IND,01,2833,71,80,11.25,6/27/2021 6:29:49 PM
Introduction to Policy Analysis,PUBPOL,155D,Lecture,001,8980,0,1,100.0,6/27/2021 6:29:51 PM
Introduction to Policy Analysis,PUBPOL,155D,Discussion,01D,8981,7,15,53.333333333333336,6/27/2021 6:29:54 PM
Introduction to Policy Analysis,PUBPOL,155D,Discussion,02D,8982,15,15,0.0,6/27/2021 6:29:56 PM
Introduction to Policy Analysis,PUBPOL,155D,Discussion,03D,8983,15,15,0.0,6/27/2021 6:29:58 PM
Introduction to Policy Analysis,PUBPOL,155D,Discussion,04D,8984,14,15,6.666666666666667,6/27/2021 6:30:01 PM
Introduction to Policy Analysis,PUBPOL,155D,Discussion,05D,8985,6,15,60.0,6/27/2021 6:30:03 PM
Introduction to Policy Analysis,PUBPOL,155D,Discussion,06D,8986,3,15,80.0,6/27/2021 6:30:05 PM
Introduction to Policy Analysis,PUBPOL,155D,Discussion,07D,8987,2,15,86.66666666666667,6/27/2021 6:30:08 PM
Introduction to Policy Analysis,PUBPOL,155D,Discussion,08D,8988,10,15,33.33333333333333,6/27/2021 6:30:10 PM
Introduction to Policy Analysis,PUBPOL,155D,Discussion,09D,8989,1,15,93.33333333333333,6/27/2021 6:30:13 PM
Introduction to Policy Analysis,PUBPOL,155D,Discussion,10D,8990,5,15,66.66666666666666,6/27/2021 6:30:15 PM
Introduction to Human Rights: Gateway for the Human Rights Certificate,PUBPOL,162,Lecture,01,7732,3,25,88.0,6/27/2021 6:30:17 PM
Introduction to Human Rights: Gateway for the Human Rights Certificate,PUBPOL,162,Lecture,02,7736,1,5,80.0,6/27/2021 6:30:20 PM
Introduction to the United States Health Care System,PUBPOL,165,Lecture,01,9058,0,35,100.0,6/27/2021 6:30:22 PM
Introduction to the United States Health Care System,PUBPOL,165,Lecture,02,9059,0,1,100.0,6/27/2021 6:30:25 PM
The Documentary Experience: A Video Approach,PUBPOL,170S,SEM,01,3116,1,12,91.66666666666666,6/27/2021 6:30:27 PM
The Documentary Experience: A Video Approach,PUBPOL,170S,SEM,02,3121,0,3,100.0,6/27/2021 6:30:29 PM
Gateway Seminar: Civil Rights and Asian Americans,PUBPOL,175S,SEM,01,7092,3,18,83.33333333333334,6/27/2021 6:30:32 PM
Public Speaking: Policy Advocacy and Communication,PUBPOL,182,Lecture,01,5629,0,11,100.0,6/27/2021 6:30:34 PM
Public Speaking: Policy Advocacy and Communication,PUBPOL,182,Lecture,02,5630,0,11,100.0,6/27/2021 6:30:37 PM
Language and Politics: Global Perspectives,PUBPOL,208S,SEM,01,4399,0,11,100.0,6/27/2021 6:30:39 PM
Language and Politics: Global Perspectives,PUBPOL,208S,SEM,02,10296,1,11,90.9090909090909,6/27/2021 6:30:42 PM
Human Rights and Legal Redress: Seeking Justice through Human Rights,PUBPOL,209S,SEM,01,8756,2,18,88.88888888888889,6/27/2021 6:30:44 PM
Engineering Sustainable Design and the Global Community: Structural Focus,PUBPOL,211-20,Lecture,01,8406,16,20,20.0,6/27/2021 6:30:46 PM
Engineering Sustainable Design and the Global Community: Structural Focus,PUBPOL,211-20,Lecture,02,8409,9,10,10.0,6/27/2021 6:30:49 PM
Engineering Sustainable Design and the Global Community: Environmental Focus,PUBPOL,211-60,Lecture,01,8412,13,20,35.0,6/27/2021 6:30:51 PM
Engineering Sustainable Design and the Global Community: Environmental Focus,PUBPOL,211-60,Lecture,02,8415,8,10,20.0,6/27/2021 6:30:54 PM
Conflict Analysis in Africa (Case Studies),PUBPOL,218S,SEM,01,5539,1,18,94.44444444444444,6/27/2021 6:30:56 PM
The Modern Regulatory State,PUBPOL,219D,Lecture,001,7137,17,40,57.49999999999999,6/27/2021 6:30:58 PM
The Modern Regulatory State,PUBPOL,219D,Discussion,01D,7140,1,24,95.83333333333334,6/27/2021 6:31:01 PM
Global Russia,PUBPOL,223,Lecture,01,11866,9,16,43.75,6/27/2021 6:31:03 PM
Global Russia,PUBPOL,223,Lecture,02,11870,18,20,10.0,6/27/2021 6:31:06 PM
Risk,PUBPOL,235,Lecture,01,3304,6,50,88.0,6/27/2021 6:31:08 PM
Globalization and History,PUBPOL,236,Lecture,01,7093,11,60,81.66666666666667,6/27/2021 6:31:10 PM
Child Policy Research,PUBPOL,242S,SEM,01,2956,0,18,100.0,6/27/2021 6:31:13 PM
American Constitutional Development and Interpretation II: Individual Rights,PUBPOL,247,Lecture,01,11489,15,45,66.66666666666666,6/27/2021 6:31:15 PM
History of Political Nonviolence,PUBPOL,248S,SEM,01,7100,4,18,77.77777777777779,6/27/2021 6:31:17 PM
"Life Within Capitalism: A History of its Values, Measures and Struggles",PUBPOL,249,Lecture,01,9122,0,20,100.0,6/27/2021 6:31:20 PM
Women as Leaders,PUBPOL,259S,SEM,01,9026,1,18,94.44444444444444,6/27/2021 6:31:22 PM
Women as Leaders,PUBPOL,259S,SEM,02,9027,0,1,100.0,6/27/2021 6:31:24 PM
"Border Crossing: Leadership, Value Conflicts, and Public Life",PUBPOL,263,Lecture,01,9097,0,15,100.0,6/27/2021 6:31:27 PM
"Border Crossing: Leadership, Value Conflicts, and Public Life",PUBPOL,263,Lecture,02,9098,1,1,0.0,6/27/2021 6:31:29 PM
Social Entrepreneurship and the Arts,PUBPOL,264S,SEM,01,9757,4,18,77.77777777777779,6/27/2021 6:31:32 PM
Enterprising Leadership,PUBPOL,265S,SEM,01,9028,2,18,88.88888888888889,6/27/2021 6:31:34 PM
Critical Pedagogy of Hip Hop,PUBPOL,266S,SEM,01,11162,0,18,100.0,6/27/2021 6:31:37 PM
The US Intelligence Enterprise,PUBPOL,269S,SEM,01,10672,0,15,100.0,6/27/2021 6:31:39 PM
Voices in Public Policy: Spanish Tutorial,PUBPOL,273T-1,TUT,01,9129,1,8,87.5,6/27/2021 6:31:41 PM
United States Environmental Policy,PUBPOL,275D,Lecture,001,9963,5,30,83.33333333333334,6/27/2021 6:31:44 PM
United States Environmental Policy,PUBPOL,275D,Discussion,01D,9964,5,30,83.33333333333334,6/27/2021 6:31:46 PM
Masculinities & Global Politics,PUBPOL,276S,SEM,01,10046,6,15,60.0,6/27/2021 6:31:49 PM
Sexuality and the Law,PUBPOL,277S,SEM,01,7764,3,15,80.0,6/27/2021 6:31:51 PM
North American Environmental History,PUBPOL,278,Lecture,01,7131,20,35,42.857142857142854,6/27/2021 6:31:54 PM
North American Environmental History,PUBPOL,278,Lecture,02,11395,0,1,100.0,6/27/2021 6:31:56 PM
Marine Science and Conservation Leadership,PUBPOL,280S,SEM,01,9970,1,5,80.0,6/27/2021 6:31:58 PM
Ethics in an Unjust World,PUBPOL,283,Lecture,01,9132,0,50,100.0,6/27/2021 6:32:01 PM
Selected Public Policy Topics,PUBPOL,290,Lecture,01,9029,2,20,90.0,6/27/2021 6:32:03 PM
Selected Topics Public Policy,PUBPOL,290D,Lecture,001,10045,12,18,33.33333333333333,6/27/2021 6:32:06 PM
Selected Topics Public Policy,PUBPOL,290D,Discussion,01D,10043,12,18,33.33333333333333,6/27/2021 6:32:08 PM
Selected Public Policy Topics,PUBPOL,290S,SEM,01,10490,0,15,100.0,6/27/2021 6:32:11 PM
Selected Public Policy Topics,PUBPOL,290S,SEM,02,10423,0,14,100.0,6/27/2021 6:32:13 PM
Selected Public Policy Topics,PUBPOL,290S,SEM,10,9829,0,8,100.0,6/27/2021 6:32:15 PM
Selected Public Policy Topics,PUBPOL,290S,SEM,20,9831,2,15,86.66666666666667,6/27/2021 6:32:18 PM
Selected Public Policy Topics,PUBPOL,290S,SEM,30,9832,1,6,83.33333333333334,6/27/2021 6:32:20 PM
Selected Public Policy Topics,PUBPOL,290S,SEM,31,9833,1,6,83.33333333333334,6/27/2021 6:32:23 PM
Selected Public Policy Topics,PUBPOL,290S,SEM,40,9834,0,6,100.0,6/27/2021 6:32:25 PM
Selected Public Policy Topics,PUBPOL,290S,SEM,41,9835,2,6,66.66666666666666,6/27/2021 6:32:27 PM
Selected Public Policy Topics,PUBPOL,290S,SEM,50,9836,0,8,100.0,6/27/2021 6:32:30 PM
Selected Public Policy Topics,PUBPOL,290S,SEM,51,9837,2,7,71.42857142857143,6/27/2021 6:32:32 PM
Political Analysis for Public Policy-Making,PUBPOL,301,Lecture,001,9003,9,90,90.0,6/27/2021 6:32:34 PM
Political Analysis for Public Policy-Making,PUBPOL,301,Lecture,003,9005,8,45,82.22222222222221,6/27/2021 6:32:37 PM
Political Analysis for Public Policy-Making,PUBPOL,301,Discussion,01D,9006,1,15,93.33333333333333,6/27/2021 6:32:39 PM
Political Analysis for Public Policy-Making,PUBPOL,301,Discussion,02D,9007,0,15,100.0,6/27/2021 6:32:42 PM
Political Analysis for Public Policy-Making,PUBPOL,301,Discussion,03D,9008,2,15,86.66666666666667,6/27/2021 6:32:44 PM
Political Analysis for Public Policy-Making,PUBPOL,301,Discussion,04D,9009,0,15,100.0,6/27/2021 6:32:46 PM
Political Analysis for Public Policy-Making,PUBPOL,301,Discussion,05D,9010,5,15,66.66666666666666,6/27/2021 6:32:49 PM
Political Analysis for Public Policy-Making,PUBPOL,301,Discussion,06D,9011,1,15,93.33333333333333,6/27/2021 6:32:51 PM
Political Analysis for Public Policy-Making,PUBPOL,301,Discussion,07D,9012,1,15,93.33333333333333,6/27/2021 6:32:53 PM
Political Analysis for Public Policy-Making,PUBPOL,301,Discussion,08D,9013,7,15,53.333333333333336,6/27/2021 6:32:56 PM
Political Analysis for Public Policy-Making,PUBPOL,301,Discussion,09D,9014,0,15,100.0,6/27/2021 6:32:58 PM
Policy Choice as Value Conflict,PUBPOL,302D,Lecture,002,9016,25,90,72.22222222222221,6/27/2021 6:33:00 PM
Policy Choice as Value Conflict,PUBPOL,302D,Discussion,04D,9020,5,15,66.66666666666666,6/27/2021 6:33:03 PM
Policy Choice as Value Conflict,PUBPOL,302D,Discussion,05D,9021,6,15,60.0,6/27/2021 6:33:05 PM
Policy Choice as Value Conflict,PUBPOL,302D,Discussion,06D,9022,1,15,93.33333333333333,6/27/2021 6:33:08 PM
Policy Choice as Value Conflict,PUBPOL,302D,Discussion,07D,9818,4,15,73.33333333333333,6/27/2021 6:33:10 PM
Policy Choice as Value Conflict,PUBPOL,302D,Discussion,08D,9024,2,15,86.66666666666667,6/27/2021 6:33:12 PM
Policy Choice as Value Conflict,PUBPOL,302D,Discussion,09D,9025,7,15,53.333333333333336,6/27/2021 6:33:15 PM
Microeconomic Policy Tools,PUBPOL,303D,Lecture,002,9063,4,35,88.57142857142857,6/27/2021 6:33:17 PM
Microeconomic Policy Tools,PUBPOL,303D,Lecture,004,9065,0,1,100.0,6/27/2021 6:33:20 PM
Microeconomic Policy Tools,PUBPOL,303D,Lecture,005,11423,28,35,20.0,6/27/2021 6:33:23 PM
Microeconomic Policy Tools,PUBPOL,303D,Lecture,006,11427,1,2,50.0,6/27/2021 6:33:25 PM
Microeconomic Policy Tools,PUBPOL,303D,Discussion,04D,9069,0,12,100.0,6/27/2021 6:33:28 PM
Microeconomic Policy Tools,PUBPOL,303D,Discussion,05D,9070,5,12,58.333333333333336,6/27/2021 6:33:30 PM
Microeconomic Policy Tools,PUBPOL,303D,Discussion,06D,9071,1,11,90.9090909090909,6/27/2021 6:33:33 PM
Microeconomic Policy Tools,PUBPOL,303D,Discussion,07D,11424,11,12,8.333333333333332,6/27/2021 6:33:35 PM
Microeconomic Policy Tools,PUBPOL,303D,Discussion,08D,11425,7,12,41.66666666666667,6/27/2021 6:33:38 PM
Microeconomic Policy Tools,PUBPOL,303D,Discussion,09D,11426,10,11,9.090909090909092,6/27/2021 6:33:41 PM
Microeconomic Policy Tools,PUBPOL,303D,Discussion,10D,12023,9,10,10.0,6/27/2021 6:33:43 PM
Economics of the Public Sector,PUBPOL,304,Lecture,01,9103,10,35,71.42857142857143,6/27/2021 6:33:46 PM
Economics of the Public Sector,PUBPOL,304,Lecture,02,9104,25,35,28.57142857142857,6/27/2021 6:33:48 PM
Economics of the Public Sector,PUBPOL,304,Lecture,03,9105,0,1,100.0,6/27/2021 6:33:50 PM
Economics of the Public Sector,PUBPOL,304,Lecture,04,9106,-1,1,200.0,6/27/2021 6:33:53 PM
Economics of the Public Sector,PUBPOL,304,Lecture,05,9107,-2,35,105.71428571428572,6/27/2021 6:33:56 PM
Economics of the Public Sector,PUBPOL,304,Lecture,06,9108,-3,1,400.0,6/27/2021 6:33:58 PM
"Africa and Arabia: Cultures, Communities, and Connections",PUBPOL,305,Lecture,01,10459,7,12,41.66666666666667,6/27/2021 6:34:01 PM
"Africa and Arabia: Cultures, Communities, and Connections",PUBPOL,305,Lecture,02,10460,1,6,83.33333333333334,6/27/2021 6:34:03 PM
Anthropology of Money,PUBPOL,306,Lecture,01,5883,1,70,98.57142857142858,6/27/2021 6:34:06 PM
Business and Human Rights Advocacy Lab,PUBPOL,311S,SEM,01,8749,0,12,100.0,6/27/2021 6:34:08 PM
Managing the Oceans to Solve Global Problems,PUBPOL,314D,Lecture,001,9701,20,36,44.44444444444444,6/27/2021 6:34:10 PM
Managing the Oceans to Solve Global Problems,PUBPOL,314D,Discussion,01D,9702,20,36,44.44444444444444,6/27/2021 6:34:13 PM
Non-Profit Cultural Institutions,PUBPOL,318S,SEM,01,7867,1,16,93.75,6/27/2021 6:34:15 PM
Statecraft and Strategy,PUBPOL,320,Lecture,01,9759,0,33,100.0,6/27/2021 6:34:18 PM
Contemporary South Africa,PUBPOL,321S,SEM,01,9744,5,18,72.22222222222221,6/27/2021 6:34:20 PM
Global Health Policy: Transforming Evidence into Action,PUBPOL,324,Lecture,01,5984,21,40,47.5,6/27/2021 6:34:22 PM
Global Health Ethics: Policy Choice as Value Conflict,PUBPOL,330,Lecture,01,5981,6,45,86.66666666666667,6/27/2021 6:34:25 PM
War and Public Health in Africa,PUBPOL,333,Lecture,01,10309,3,18,83.33333333333334,6/27/2021 6:34:27 PM
De/Re/Segregation in Education: A Case of Back to the Future?,PUBPOL,340S,SEM,01,5152,0,18,100.0,6/27/2021 6:34:30 PM
Family Rights/Human Rights,PUBPOL,346S,SEM,01,7148,3,18,83.33333333333334,6/27/2021 6:34:32 PM
Global Environmental Politics,PUBPOL,349D,Lecture,001,9671,2,18,88.88888888888889,6/27/2021 6:34:34 PM
Global Environmental Politics,PUBPOL,349D,Discussion,01D,9672,2,18,88.88888888888889,6/27/2021 6:34:37 PM
The University as a Culture: A Survivor's Guide,PUBPOL,350S,SEM,01,5880,4,15,73.33333333333333,6/27/2021 6:34:39 PM
U.S. Policy in the Middle East,PUBPOL,353S,SEM,01,6114,0,18,100.0,6/27/2021 6:34:42 PM
Violent Jihad in the Twentieth Century - A Global History,PUBPOL,359,Lecture,01,7135,23,60,61.66666666666667,6/27/2021 6:34:44 PM
"Race and Society: South Africa and the US, 1890-present",PUBPOL,362S,SEM,01,9749,1,18,94.44444444444444,6/27/2021 6:34:46 PM
